Data_Point,Cycle_No,Step_No,Mode,Time(s),Voltage(V),Current(mA),Capacity(mAh),C_rate
1,1,1,CC-Chg,0.0,2.597222,0.5,0.0,0.1
2,1,1,CC-Chg,5.0,2.59813,0.5,0.001389,0.1
3,1,1,CC-Chg,10.0,2.59866,0.5,0.002083,0.1
4,1,1,CC-Chg,15.0,2.599155,0.5,0.002778,0.1
5,1,1,CC-Chg,20.0,2.599641,0.5,0.003472,0.1
6,1,1,CC-Chg,25.0,2.600124,0.5,0.004167,0.1
7,1,1,CC-Chg,30.0,2.600605,0.5,0.004861,0.1
8,1,1,CC-Chg,35.0,2.601087,0.5,0.005556,0.1
9,1,1,CC-Chg,40.0,2.601568,0.5,0.00625,0.1
10,1,1,CC-Chg,45.0,2.602049,0.5,0.006944,0.1
11,1,1,CC-Chg,50.0,2.60253,0.5,0.007639,0.1
12,1,1,CC-Chg,55.0,2.603012,0.5,0.008333,0.1
13,1,1,CC-Chg,60.0,2.603493,0.5,0.009028,0.1
14,1,1,CC-Chg,65.0,2.603975,0.5,0.009722,0.1
15,1,1,CC-Chg,70.0,2.604457,0.5,0.010417,0.1
16,1,1,CC-Chg,75.0,2.604938,0.5,0.011111,0.1
17,1,1,CC-Chg,80.0,2.60542,0.5,0.011806,0.1
18,1,1,CC-Chg,85.0,2.605901,0.5,0.0125,0.1
19,1,1,CC-Chg,90.0,2.606383,0.5,0.013194,0.1
20,1,1,CC-Chg,95.0,2.606865,0.5,0.013889,0.1
21,1,1,CC-Chg,100.0,2.607347,0.5,0.014583,0.1
22,1,1,CC-Chg,105.0,2.607828,0.5,0.015278,0.1
23,1,1,CC-Chg,110.0,2.60831,0.5,0.015972,0.1
24,1,1,CC-Chg,115.0,2.608792,0.5,0.016667,0.1
25,1,1,CC-Chg,120.0,2.609273,0.5,0.017361,0.1
26,1,1,CC-Chg,125.0,2.609755,0.5,0.018056,0.1
27,1,1,CC-Chg,130.0,2.610237,0.5,0.01875,0.1
28,1,1,CC-Chg,135.0,2.610719,0.5,0.019444,0.1
29,1,1,CC-Chg,140.0,2.6112,0.5,0.020139,0.1
30,1,1,CC-Chg,145.0,2.611682,0.5,0.020833,0.1
31,1,1,CC-Chg,150.0,2.612164,0.5,0.021528,0.1
32,1,1,CC-Chg,155.0,2.612646,0.5,0.022222,0.1
33,1,1,CC-Chg,160.0,2.613127,0.5,0.022917,0.1
34,1,1,CC-Chg,165.0,2.613609,0.5,0.023611,0.1
35,1,1,CC-Chg,170.0,2.614091,0.5,0.024306,0.1
36,1,1,CC-Chg,175.0,2.614572,0.5,0.025,0.1
37,1,1,CC-Chg,180.0,2.615054,0.5,0.025694,0.1
38,1,1,CC-Chg,185.0,2.615535,0.5,0.026389,0.1
39,1,1,CC-Chg,190.0,2.616017,0.5,0.027083,0.1
40,1,1,CC-Chg,195.0,2.616499,0.5,0.027778,0.1
41,1,1,CC-Chg,200.0,2.61698,0.5,0.028472,0.1
42,1,1,CC-Chg,205.0,2.617462,0.5,0.029167,0.1
43,1,1,CC-Chg,210.0,2.617943,0.5,0.029861,0.1
44,1,1,CC-Chg,215.0,2.618425,0.5,0.030556,0.1
45,1,1,CC-Chg,220.0,2.618906,0.5,0.03125,0.1
46,1,1,CC-Chg,225.0,2.619388,0.5,0.031944,0.1
47,1,1,CC-Chg,230.0,2.619869,0.5,0.032639,0.1
48,1,1,CC-Chg,235.0,2.62035,0.5,0.033333,0.1
49,1,1,CC-Chg,240.0,2.620832,0.5,0.034028,0.1
50,1,1,CC-Chg,245.0,2.621313,0.5,0.034722,0.1
51,1,1,CC-Chg,250.0,2.621794,0.5,0.035417,0.1
52,1,1,CC-Chg,255.0,2.622275,0.5,0.036111,0.1
53,1,1,CC-Chg,260.0,2.622756,0.5,0.036806,0.1
54,1,1,CC-Chg,265.0,2.623238,0.5,0.0375,0.1
55,1,1,CC-Chg,270.0,2.623719,0.5,0.038194,0.1
56,1,1,CC-Chg,275.0,2.6242,0.5,0.038889,0.1
57,1,1,CC-Chg,280.0,2.624681,0.5,0.039583,0.1
58,1,1,CC-Chg,285.0,2.625162,0.5,0.040278,0.1
59,1,1,CC-Chg,290.0,2.625643,0.5,0.040972,0.1
60,1,1,CC-Chg,295.0,2.626123,0.5,0.041667,0.1
61,1,1,CC-Chg,300.0,2.626604,0.5,0.042361,0.1
62,1,1,CC-Chg,305.0,2.627085,0.5,0.043056,0.1
63,1,1,CC-Chg,310.0,2.627566,0.5,0.04375,0.1
64,1,1,CC-Chg,315.0,2.628047,0.5,0.044444,0.1
65,1,1,CC-Chg,320.0,2.628527,0.5,0.045139,0.1
66,1,1,CC-Chg,325.0,2.629008,0.5,0.045833,0.1
67,1,1,CC-Chg,330.0,2.629488,0.5,0.046528,0.1
68,1,1,CC-Chg,335.0,2.629969,0.5,0.047222,0.1
69,1,1,CC-Chg,340.0,2.630449,0.5,0.047917,0.1
70,1,1,CC-Chg,345.0,2.63093,0.5,0.048611,0.1
71,1,1,CC-Chg,350.0,2.63141,0.5,0.049306,0.1
72,1,1,CC-Chg,355.0,2.63189,0.5,0.05,0.1
73,1,1,CC-Chg,360.0,2.63237,0.5,0.050694,0.1
74,1,1,CC-Chg,365.0,2.632851,0.5,0.051389,0.1
75,1,1,CC-Chg,370.0,2.633331,0.5,0.052083,0.1
76,1,1,CC-Chg,375.0,2.633811,0.5,0.052778,0.1
77,1,1,CC-Chg,380.0,2.634291,0.5,0.053472,0.1
78,1,1,CC-Chg,385.0,2.634771,0.5,0.054167,0.1
79,1,1,CC-Chg,390.0,2.63525,0.5,0.054861,0.1
80,1,1,CC-Chg,395.0,2.63573,0.5,0.055556,0.1
81,1,1,CC-Chg,400.0,2.63621,0.5,0.05625,0.1
82,1,1,CC-Chg,405.0,2.63669,0.5,0.056944,0.1
83,1,1,CC-Chg,410.0,2.637169,0.5,0.057639,0.1
84,1,1,CC-Chg,415.0,2.637649,0.5,0.058333,0.1
85,1,1,CC-Chg,420.0,2.638128,0.5,0.059028,0.1
86,1,1,CC-Chg,425.0,2.638608,0.5,0.059722,0.1
87,1,1,CC-Chg,430.0,2.639087,0.5,0.060417,0.1
88,1,1,CC-Chg,435.0,2.639566,0.5,0.061111,0.1
89,1,1,CC-Chg,440.0,2.640046,0.5,0.061806,0.1
90,1,1,CC-Chg,445.0,2.640525,0.5,0.0625,0.1
91,1,1,CC-Chg,450.0,2.641004,0.5,0.063194,0.1
92,1,1,CC-Chg,455.0,2.641483,0.5,0.063889,0.1
93,1,1,CC-Chg,460.0,2.641962,0.5,0.064583,0.1
94,1,1,CC-Chg,465.0,2.642441,0.5,0.065278,0.1
95,1,1,CC-Chg,470.0,2.64292,0.5,0.065972,0.1
96,1,1,CC-Chg,475.0,2.643398,0.5,0.066667,0.1
97,1,1,CC-Chg,480.0,2.643877,0.5,0.067361,0.1
98,1,1,CC-Chg,485.0,2.644356,0.5,0.068056,0.1
99,1,1,CC-Chg,490.0,2.644834,0.5,0.06875,0.1
100,1,1,CC-Chg,495.0,2.645313,0.5,0.069444,0.1
101,1,1,CC-Chg,500.0,2.645791,0.5,0.070139,0.1
102,1,1,CC-Chg,505.0,2.646269,0.5,0.070833,0.1
103,1,1,CC-Chg,510.0,2.646747,0.5,0.071528,0.1
104,1,1,CC-Chg,515.0,2.647226,0.5,0.072222,0.1
105,1,1,CC-Chg,520.0,2.647704,0.5,0.072917,0.1
106,1,1,CC-Chg,525.0,2.648182,0.5,0.073611,0.1
107,1,1,CC-Chg,530.0,2.64866,0.5,0.074306,0.1
108,1,1,CC-Chg,535.0,2.649137,0.5,0.075,0.1
109,1,1,CC-Chg,540.0,2.649615,0.5,0.075694,0.1
110,1,1,CC-Chg,545.0,2.650093,0.5,0.076389,0.1
111,1,1,CC-Chg,550.0,2.650571,0.5,0.077083,0.1
112,1,1,CC-Chg,555.0,2.651048,0.5,0.077778,0.1
113,1,1,CC-Chg,560.0,2.651526,0.5,0.078472,0.1
114,1,1,CC-Chg,565.0,2.652003,0.5,0.079167,0.1
115,1,1,CC-Chg,570.0,2.65248,0.5,0.079861,0.1
116,1,1,CC-Chg,575.0,2.652957,0.5,0.080556,0.1
117,1,1,CC-Chg,580.0,2.653435,0.5,0.08125,0.1
118,1,1,CC-Chg,585.0,2.653912,0.5,0.081944,0.1
119,1,1,CC-Chg,590.0,2.654389,0.5,0.082639,0.1
120,1,1,CC-Chg,595.0,2.654865,0.5,0.083333,0.1
121,1,1,CC-Chg,600.0,2.655342,0.5,0.084028,0.1
122,1,1,CC-Chg,605.0,2.655819,0.5,0.084722,0.1
123,1,1,CC-Chg,610.0,2.656296,0.5,0.085417,0.1
124,1,1,CC-Chg,615.0,2.656772,0.5,0.086111,0.1
125,1,1,CC-Chg,620.0,2.657248,0.5,0.086806,0.1
126,1,1,CC-Chg,625.0,2.657725,0.5,0.0875,0.1
127,1,1,CC-Chg,630.0,2.658201,0.5,0.088194,0.1
128,1,1,CC-Chg,635.0,2.658677,0.5,0.088889,0.1
129,1,1,CC-Chg,640.0,2.659153,0.5,0.089583,0.1
130,1,1,CC-Chg,645.0,2.659629,0.5,0.090278,0.1
131,1,1,CC-Chg,650.0,2.660105,0.5,0.090972,0.1
132,1,1,CC-Chg,655.0,2.660581,0.5,0.091667,0.1
133,1,1,CC-Chg,660.0,2.661057,0.5,0.092361,0.1
134,1,1,CC-Chg,665.0,2.661532,0.5,0.093056,0.1
135,1,1,CC-Chg,670.0,2.662008,0.5,0.09375,0.1
136,1,1,CC-Chg,675.0,2.662484,0.5,0.094444,0.1
137,1,1,CC-Chg,680.0,2.662959,0.5,0.095139,0.1
138,1,1,CC-Chg,685.0,2.663434,0.5,0.095833,0.1
139,1,1,CC-Chg,690.0,2.663909,0.5,0.096528,0.1
140,1,1,CC-Chg,695.0,2.664384,0.5,0.097222,0.1
141,1,1,CC-Chg,700.0,2.664859,0.5,0.097917,0.1
142,1,1,CC-Chg,705.0,2.665334,0.5,0.098611,0.1
143,1,1,CC-Chg,710.0,2.665809,0.5,0.099306,0.1
144,1,1,CC-Chg,715.0,2.666284,0.5,0.1,0.1
145,1,1,CC-Chg,720.0,2.666758,0.5,0.100694,0.1
